attribute_set,available_for,name,theme_bg,allerretour,category_ids,depart,destination,price,websites,sku,typebillet,theme_color,description,short_description,image,status,store,visibility
barcodeticket,Children,Billet Beaupré - Petite-Rivière Aller simple-26 à 64 ans,qcbspreg,Aller simple,3,Beaupré,Petite-Rivière, 21.74  $ ,base,navbsaprsregall-2664,Navette,0,Billet Beaupré - Petite-Rivière Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Beaupré - Petite-Rivière Aller simple-65 ans et +,qcbspreg,Aller simple,3,Beaupré,Petite-Rivière, 20.00  $ ,base,navbsaprsregall-6599,Navette,0,Billet Beaupré - Petite-Rivière Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Beaupré - Petite-Rivière Aller simple-18 à 25 ans,qcbspreg,Aller simple,3,Beaupré,Petite-Rivière, 17.40  $ ,base,navbsaprsregall-1825,Navette,0,Billet Beaupré - Petite-Rivière Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Beaupré - Petite-Rivière Aller simple-7 à 17 ans,qcbspreg,Aller simple,3,Beaupré,Petite-Rivière, 11.31  $ ,base,navbsaprsregall-0717,Navette,0,Billet Beaupré - Petite-Rivière Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Beaupré - Québec Aller simple-26 à 64 ans,bspqcreg,Aller simple,3,Beaupré,Québec, 15.66  $ ,base,navbsammoregall-2664,Navette,0,Billet Beaupré - Québec Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Beaupré - Québec Aller simple-65 ans et +,bspqcreg,Aller simple,3,Beaupré,Québec, 13.92  $ ,base,navbsammoregall-6599,Navette,0,Billet Beaupré - Québec Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Beaupré - Québec Aller simple-18 à 25 ans,bspqcreg,Aller simple,3,Beaupré,Québec, 12.18  $ ,base,navbsammoregall-1825,Navette,0,Billet Beaupré - Québec Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Beaupré - Québec Aller simple-7 à 17 ans,bspqcreg,Aller simple,3,Beaupré,Québec, 7.83  $ ,base,navbsammoregall-0717,Navette,0,Billet Beaupré - Québec Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Québec - Beaupré Aller simple-26 à 64 ans,qcbspreg,Aller simple,3,Québec,Beaupré, 15.66  $ ,base,navmmobsaregall-2664,Navette,0,Billet Québec - Beaupré Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Québec - Beaupré Aller simple-65 ans et +,qcbspreg,Aller simple,3,Québec,Beaupré, 13.92  $ ,base,navmmobsaregall-6599,Navette,0,Billet Québec - Beaupré Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Québec - Beaupré Aller simple-18 à 25 ans,qcbspreg,Aller simple,3,Québec,Beaupré, 12.18  $ ,base,navmmobsaregall-1825,Navette,0,Billet Québec - Beaupré Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
